Store,Date,Day,Month,Year,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment
14.0,2011-03-25,25,3,2011,1879451.23,0.0,41.76,3.625,184.9943679,8.549
10.0,2012-07-06,6,7,2012,1805999.79,0.0,86.87,3.666,130.7196333,7.17
13.0,2011-09-23,23,9,2011,1847430.96,0.0,63.6,3.648,129.5183333,6.877000000000002
8.0,2010-08-27,27,8,2010,888816.78,0.0,74.92,2.619,214.9362793,6.315
6.0,2010-07-30,30,7,2010,1532308.78,0.0,60.77,2.64,212.8944846,6.973
14.0,2012-02-17,17,2,2012,2020550.99,0.0,36.85,3.695,189.8424834,8.424
14.0,2011-05-06,6,5,2011,2095599.93,0.0,60.77,4.046,185.9374378,8.521
10.0,2012-03-02,2,3,2012,1990371.02,0.0,57.62,3.882,130.6457931,7.545
5.0,2012-10-19,19,10,2012,313358.15,0.0,69.17,3.594,224.0192873,5.4220000000000015
4.0,2011-12-16,16,12,2011,2771397.17,0.0,36.44,3.149,129.8980645,5.143
10.0,2011-01-07,7,1,2011,1714309.9,0.0,43.43,3.287,127.1917742,8.744
18.0,2010-08-06,6,8,2010,1166117.85,0.0,73.67,2.792,132.6141935,9.342
3.0,2010-02-05,5,2,2010,461622.22,0.0,45.71,2.572,214.4248812,7.3679999999999986
18.0,2010-12-17,17,12,2010,1588430.71,0.0,27.4,3.139,178.4,9.331
13.0,2010-12-10,10,12,2010,2461468.35,0.0,36.78,2.817,126.7934,7.795
1.0,2010-08-27,27,8,2010,1449142.92,0.0,85.22,2.619,211.5673056,7.787000000000001
1.0,2012-10-19,19,10,2012,1508068.77,0.0,67.97,3.594,223.4257233,7.65
20.0,2010-06-25,25,6,2010,1973135.87,0.0,75.17,2.8080000000000003,204.5675459,7.856
15.0,2012-03-16,16,3,2012,570611.23,0.0,47.42,4.021,137.5843871,7.943
1.0,2011-11-18,18,11,2011,1539483.7,0.0,62.25,3.3080000000000003,218.2205088,7.866
20.0,2010-09-24,24,9,2010,1789687.65,0.0,69.37,3.3,178.4,7.527
9.0,2010-11-19,19,11,2010,519823.3,0.0,49.96,2.7710000000000004,215.43728540000004,6.56
5.0,2012-05-18,18,5,2012,359206.21,0.0,60.77,3.63,221.4342146,5.943
2.0,2011-01-07,7,1,2011,1758050.79,0.0,44.69,2.9760000000000004,211.0648881,8.027999999999999
3.0,2012-05-11,11,5,2012,431985.36,0.0,75.19,3.688,225.2351496,6.664
2.0,2011-05-27,27,5,2011,1797732.56,0.0,76.42,3.786,215.1544822,7.931
9.0,2010-07-09,9,7,2010,485389.15,0.0,78.51,2.642,214.6564301,6.442
17.0,2012-05-18,18,5,2012,1046782.52,0.0,68.91,3.63,178.4,5.936
14.0,2011-07-15,15,7,2011,1953544.76,0.0,78.47,3.76,186.1399808,8.625
1.0,2010-05-14,14,5,2010,1494251.5,0.0,74.78,2.854,210.3374261,7.808
8.0,2010-03-12,12,3,2010,860336.16,0.0,49.76,3.3,214.7492449,6.299
5.0,2010-04-30,30,4,2010,298697.84,0.0,67.53,3.3,210.939388,7.65
10.0,2010-06-25,25,6,2010,1768172.31,0.0,90.32,3.3,126.1266,9.524
13.0,2010-07-02,2,7,2010,2018314.71,0.0,78.82,2.814,126.1392,7.951
3.0,2010-06-18,18,6,2010,364076.85,0.0,83.52,2.637,214.7858259,7.343
2.0,2012-01-06,6,1,2012,1799520.14,0.0,46.75,3.3,219.355063,7.057
4.0,2010-12-10,10,12,2010,2302504.86,0.0,42.4,2.86,126.7934,7.127000000000002
3.0,2012-06-22,22,6,2012,419497.95,0.0,82.7,3.346,225.3068615,6.664
19.0,2010-07-30,30,7,2010,1366395.96,0.0,72.83,2.932,132.5983871,8.099
14.0,2010-02-26,26,2,2010,2095591.63,0.0,34.89,3.3,178.4,8.992
8.0,2010-02-12,12,2,2010,994801.4,1.0,33.34,2.548,214.62141890000004,6.299
18.0,2010-05-28,28,5,2010,1256282.79,0.0,69.12,2.906,132.2939355,7.65
20.0,2010-12-31,31,12,2010,1799737.79,1.0,28.85,3.179,204.6432267,7.484
19.0,2012-06-22,22,6,2012,1468350.36,0.0,60.77,3.722,138.1629,8.15
2.0,2010-02-19,19,2,2010,2124451.54,0.0,39.69,2.514,210.9451605,7.65
13.0,2012-01-20,20,1,2012,1811606.21,0.0,32.71,3.3,130.27922579999998,6.104
11.0,2010-11-26,26,11,2010,1757242.51,1.0,69.9,2.735,215.0614025,7.564
15.0,2010-02-19,19,2,2010,660838.75,0.0,60.77,2.909,131.637,7.65
7.0,2012-04-20,20,4,2012,457340.06,0.0,39.3,3.936,197.7227385,8.09
9.0,2010-06-18,18,6,2010,513073.87,0.0,82.99,2.637,215.0166484,6.384
14.0,2011-01-07,7,1,2011,1864746.1,0.0,34.32,3.193,182.5983058,7.65
8.0,2010-09-17,17,9,2010,836707.85,0.0,75.32,2.582,214.8785562,6.315
5.0,2011-07-29,29,7,2011,275142.17,0.0,89.42,3.682,216.0464364,6.529
7.0,2012-09-07,7,9,2012,597876.55,1.0,57.84,3.596,198.0950484,7.872000000000001
1.0,2011-05-27,27,5,2011,1466046.67,0.0,60.77,3.786,215.5037878,7.682
19.0,2011-06-10,10,6,2011,1467473.63,0.0,68.26,3.3,134.94254840000002,7.657999999999999
3.0,2011-11-18,18,11,2011,398838.97,0.0,63.91,3.3080000000000003,221.6432852,7.197
16.0,2010-07-09,9,7,2010,614253.33,0.0,61.79,2.7110000000000003,189.5231276,6.867999999999999
13.0,2011-08-12,12,8,2011,1970341.38,0.0,75.95,3.606,129.2015806,6.877000000000002
13.0,2012-03-16,16,3,2012,2025582.62,0.0,52.5,3.529,130.82619350000002,6.104
17.0,2010-11-12,12,11,2010,855459.96,0.0,60.77,2.8310000000000004,126.5461613,7.65
4.0,2011-07-22,22,7,2011,2036231.39,0.0,82.84,3.627,129.1507742,5.644
4.0,2011-07-08,8,7,2011,2066541.86,0.0,84.59,3.469,129.1125,5.644
6.0,2011-04-22,22,4,2011,1639358.93,0.0,74.24,3.807,217.0146941,6.855
7.0,2012-05-25,25,5,2012,532739.77,0.0,50.6,3.804,197.5886046,8.09
5.0,2010-11-12,12,11,2010,301827.36,0.0,62.37,3.3,212.5604113,6.768
3.0,2011-10-07,7,10,2011,403342.4,0.0,75.54,3.285,178.4,7.197
3.0,2010-06-04,4,6,2010,396968.8,0.0,78.53,2.705,214.4958382,7.343
3.0,2012-10-19,19,10,2012,424513.08,0.0,73.44,3.594,226.9688442,6.034
14.0,2010-06-18,18,6,2010,2248645.59,0.0,72.62,2.78,182.4424199,8.899
17.0,2010-06-11,11,6,2010,845252.21,0.0,57.14,2.841,126.1119032,7.65
8.0,2011-08-12,12,8,2011,856796.1,0.0,86.05,3.638,219.0075249,7.65
19.0,2012-04-20,20,4,2012,1255087.26,0.0,55.2,4.17,137.9230667,8.15
